,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Regulation status,Upregulated,Downregulated,Not significant
ENSCSAG00000018709.1,581.5009291,-9.012068805,1.240891306,-7.262577118,3.80E-13,5.77E-09,Downregulated,36,76,18733
ENSCSAG00000012722.1_EIF5A2,306.4360745,2.198937825,0.343697477,6.397887596,1.58E-10,1.20E-06,Upregulated,,,
ENSCSAG00000018627.1,35.15408984,-4.508834241,0.721861529,-6.246120703,4.21E-10,2.13E-06,Downregulated,,,
ENSCSAG00000008892.1_PNKD,1359.816822,1.280388143,0.215086862,5.952888659,2.63E-09,9.67E-06,Not Significant,,,
ENSCSAG00000019016.1,41.11789954,-25.5283846,4.310930617,-5.921780439,3.18E-09,9.67E-06,Downregulated,,,
ENSCSAG00000009682.1_TRPM5,41.6888664,-6.804390179,1.17366635,-5.797550708,6.73E-09,1.70E-05,Downregulated,,,
ENSCSAG00000015995.1_CHRNA2,75.85135504,-4.416182398,0.770493688,-5.731626967,9.95E-09,2.16E-05,Downregulated,,,
ENSCSAG00000010066.1_CRYGD,77.22252761,4.671756877,0.826838885,5.650141715,1.60E-08,3.04E-05,Upregulated,,,
ENSCSAG00000012882.1_WNT5A,50.95958645,2.054657139,0.373485649,5.501301447,3.77E-08,5.72E-05,Upregulated,,,
ENSCSAG00000015099.1_SFRP1,205.4774861,-3.414927229,0.618689104,-5.519617534,3.40E-08,5.72E-05,Downregulated,,,
ENSCSAG00000012329.1_RHBDL1,24.05183199,-4.029229649,0.73529635,-5.479735687,4.26E-08,5.88E-05,Downregulated,,,
ENSCSAG00000018536.1,26.91572338,-4.056282581,0.742988401,-5.459415756,4.78E-08,6.04E-05,Downregulated,,,
ENSCSAG00000002525.1_TMEM116,24.35297842,-6.895517469,1.282161116,-5.378042887,7.53E-08,8.80E-05,Downregulated,,,
ENSCSAG00000015906.1,80.91182638,-1.644703696,0.312752605,-5.258800951,1.45E-07,0.000157271,Not Significant,,,
ENSCSAG00000003978.1_DKK2,32.10175024,-7.202183795,1.375050177,-5.237760713,1.63E-07,0.000164541,Downregulated,,,
ENSCSAG00000011665.1,20.66747381,-4.451089368,0.854864752,-5.20677611,1.92E-07,0.000179104,Downregulated,,,
ENSCSAG00000018278.1,61.19360099,-3.938835283,0.757634067,-5.198862425,2.01E-07,0.000179104,Downregulated,,,
ENSCSAG00000008255.1_RSL1D1,608.4699981,-1.36684907,0.265165749,-5.154696913,2.54E-07,0.000214312,Not Significant,,,
ENSCSAG00000016658.1_PNP,23.39716019,-3.824470193,0.763215638,-5.010995584,5.41E-07,0.000432766,Downregulated,,,
ENSCSAG00000011252.1_GK5,29.98770244,-2.703622489,0.542323969,-4.985253545,6.19E-07,0.000469829,Downregulated,,,
ENSCSAG00000011809.1_NEDD4,55.66795216,-1.173692932,0.237629351,-4.939174917,7.85E-07,0.000567296,Not Significant,,,
ENSCSAG00000006218.1_LGI1,5.529705593,-4.710987965,0.961723773,-4.898483428,9.66E-07,0.000666616,Downregulated,,,
ENSCSAG00000002747.1_DDR2,47.69530689,-1.385541415,0.284390169,-4.871973676,1.10E-06,0.000699072,Not Significant,,,
ENSCSAG00000013682.1_AFF4,341.5039773,-0.95766145,0.196324036,-4.877963333,1.07E-06,0.000699072,Not Significant,,,
ENSCSAG00000015148.1_TMC3,47.58035265,4.311822713,0.886733514,4.862591349,1.16E-06,0.000703727,Upregulated,,,
ENSCSAG00000019553.1,49.6328524,1.540595379,0.320369316,4.808810653,1.52E-06,0.000886751,Not Significant,,,
ENSCSAG00000003581.1_CYP2A28,547.6243606,-2.658538888,0.554946352,-4.790623235,1.66E-06,0.000935081,Downregulated,,,
