,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Regulation status,Upregulated,Downregulated,Not significant
ENSCSAG00000004542.1_SLC16A7,39.20403033,1.762121493,0.368507061,4.781784882,1.74E-06,0.000942259,Not Significant,,,
ENSCSAG00000011906.1_FZD6,80.41052895,1.414130189,0.300854115,4.700385066,2.60E-06,0.001359693,Not Significant,,,
ENSCSAG00000004479.1_ADAM12,21.66387862,-3.882698665,0.828633557,-4.685664289,2.79E-06,0.001412475,Downregulated,,,
ENSCSAG00000012920.1_CYSTM1,222.1340147,1.391476309,0.297846133,4.67179579,2.99E-06,0.001462549,Not Significant,,,
ENSCSAG00000011858.1,48.9844741,-7.124365966,1.544970371,-4.611328541,4.00E-06,0.001898617,Downregulated,,,
ENSCSAG00000004375.1_HELB,1000.893967,-0.628717115,0.136565876,-4.603764373,4.15E-06,0.001909269,Not Significant,,,
ENSCSAG00000012586.1_FSIP2,6.630615019,-3.823276529,0.83176344,-4.596591224,4.29E-06,0.00191804,Downregulated,,,
ENSCSAG00000008430.1,13.19473041,-4.025877239,0.87787345,-4.585942583,4.52E-06,0.001960786,Downregulated,,,
ENSCSAG00000001345.1_EFCAB7,11.0877124,-3.160271791,0.692079007,-4.566345401,4.96E-06,0.002061798,Downregulated,,,
ENSCSAG00000010990.1,3.817017426,-4.388485518,0.961587744,-4.563791025,5.02E-06,0.002061798,Downregulated,,,
ENSCSAG00000004307.1_ABCA8,102.2618626,-1.21400567,0.266456005,-4.556120511,5.21E-06,0.002082225,Not Significant,,,
ENSCSAG00000007386.1,137.3695188,1.239386512,0.273768884,4.527127016,5.98E-06,0.002269816,Not Significant,,,
ENSCSAG00000012833.1_COL27A1,879.7337117,-0.963972405,0.212895135,-4.527921251,5.96E-06,0.002269816,Not Significant,,,
ENSCSAG00000005520.1_ESPL1,67.11330028,-2.704129574,0.59835218,-4.519294261,6.20E-06,0.002297976,Downregulated,,,
ENSCSAG00000002357.1_C1QTNF1,593.9464928,1.032719582,0.230024331,4.489610189,7.14E-06,0.002519779,Not Significant,,,
ENSCSAG00000012170.1,97.06717362,-1.515889573,0.337383849,-4.493070956,7.02E-06,0.002519779,Not Significant,,,
ENSCSAG00000013974.1_C3orf70,8.13925566,2.860712187,0.640306238,4.467725003,7.91E-06,0.002728325,Upregulated,,,
ENSCSAG00000009340.1,771.4432588,-1.2168821,0.27393764,-4.44218655,8.90E-06,0.003004919,Not Significant,,,
ENSCSAG00000011175.1_PLPPR1,11.68320559,-3.053108498,0.690813329,-4.419585393,9.89E-06,0.003264459,Downregulated,,,
ENSCSAG00000006767.1_SLC16A12,108.4944298,1.646989345,0.374369533,4.399367999,1.09E-05,0.003507625,Not Significant,,,
ENSCSAG00000018270.1_KLHL13,205.6977274,-0.856255745,0.195078952,-4.389277967,1.14E-05,0.003597821,Not Significant,,,
ENSCSAG00000004944.1_UGT2A1,8.412695565,-5.987737552,1.374021197,-4.357820364,1.31E-05,0.003911879,Downregulated,,,
ENSCSAG00000010557.1_CHAF1A,17.76497251,1.697065617,0.389432796,4.357788131,1.31E-05,0.003911879,Not Significant,,,
ENSCSAG00000019444.1,10.4139316,-2.773083463,0.635532516,-4.363401388,1.28E-05,0.003911879,Downregulated,,,
ENSCSAG00000000797.1_MAD2L2,40.96602131,1.484562058,0.343402216,4.323099818,1.54E-05,0.004032735,Not Significant,,,
ENSCSAG00000003331.1_PRSS48,27.72100103,-1.181712979,0.273264495,-4.324429269,1.53E-05,0.004032735,Not Significant,,,
ENSCSAG00000003630.1_CYP2A24,3460.582513,-1.276950728,0.294637145,-4.333977405,1.46E-05,0.004032735,Not Significant,,,
ENSCSAG00000008375.1_SPTBN2,214.2728958,-1.002567146,0.230767961,-4.344481546,1.40E-05,0.004032735,Not Significant,,,
ENSCSAG00000011118.1_BMS1,469.0219151,-1.100732256,0.254438541,-4.326122345,1.52E-05,0.004032735,Not Significant,,,
ENSCSAG00000015554.1_ARSF,98.00098529,1.303046094,0.30024064,4.340005722,1.42E-05,0.004032735,Not Significant,,,
ENSCSAG00000015831.1_EVA1A,90.82174366,1.368660703,0.316611386,4.322841072,1.54E-05,0.004032735,Not Significant,,,
ENSCSAG00000014934.1_MST1,433.431417,-1.016130594,0.235296317,-4.318514654,1.57E-05,0.004042885,Not Significant,,,
ENSCSAG00000007046.1_ADPRH,106.5615842,0.843474172,0.196743312,4.287180924,1.81E-05,0.004579667,Not Significant,,,
ENSCSAG00000012527.1_NPC2,319.5453806,1.142305105,0.266786592,4.281718571,1.85E-05,0.004616624,Not Significant,,,
ENSCSAG00000009455.1,58.48662131,2.599071811,0.608515507,4.271167752,1.94E-05,0.004762507,Upregulated,,,
ENSCSAG00000017572.1_SLAIN1,7.771720135,-3.444722819,0.808807033,-4.259016894,2.05E-05,0.004949056,Downregulated,,,
ENSCSAG00000006376.1_APOBEC3G,308.3958371,-0.718185021,0.168939605,-4.251134728,2.13E-05,0.00498205,Not Significant,,,
ENSCSAG00000009920.1,39.32152419,-4.781758752,1.125882056,-4.247122267,2.17E-05,0.00498205,Downregulated,,,
ENSCSAG00000011276.1_AOX1,6069.882324,-0.71138324,0.167582769,-4.244966496,2.19E-05,0.00498205,Not Significant,,,
ENSCSAG00000019130.1_LRRN3,33.89919345,-1.956049969,0.460925459,-4.243744686,2.20E-05,0.00498205,Not Significant,,,
ENSCSAG00000012079.1_UNC93A,17.551645,-5.84142189,1.385902069,-4.214887919,2.50E-05,0.005580538,Downregulated,,,
ENSCSAG00000002397.1_TMEM235,3.703878675,-5.261052764,1.25012035,-4.208437021,2.57E-05,0.005588121,Downregulated,,,
ENSCSAG00000011308.1_PCOLCE2,65.74053138,-2.146280546,0.510043513,-4.208034201,2.58E-05,0.005588121,Downregulated,,,
ENSCSAG00000013662.1_TASOR2,183.1627305,-1.070723677,0.255833751,-4.185232301,2.85E-05,0.006008085,Not Significant,,,
ENSCSAG00000017673.1_FSCN1,112.0767255,0.959961277,0.229224437,4.18786622,2.82E-05,0.006008085,Not Significant,,,
ENSCSAG00000010001.1_MN1,35.48171659,-2.554816143,0.611435778,-4.178388367,2.94E-05,0.006106908,Downregulated,,,
ENSCSAG00000016650.1,58.64147595,-1.162797079,0.278582953,-4.173970684,2.99E-05,0.006142462,Not Significant,,,
ENSCSAG00000001286.1_SLC1A7,7.469826472,3.076498461,0.737835191,4.169628255,3.05E-05,0.006177195,Upregulated,,,
ENSCSAG00000005492.1_IFTAP,433.258212,-0.655518448,0.157728198,-4.156000368,3.24E-05,0.006470954,Not Significant,,,
ENSCSAG00000000189.1,40.19491094,-1.552834815,0.375241191,-4.138231228,3.50E-05,0.006902146,Not Significant,,,
ENSCSAG00000008807.1,183.9699958,1.393059049,0.337389117,4.128938897,3.64E-05,0.007094923,Not Significant,,,
ENSCSAG00000000047.1,5.62071931,-4.117677373,1.002637992,-4.106843551,4.01E-05,0.007709803,Downregulated,,,
ENSCSAG00000007584.1_MRPS35,120.0196061,1.07192829,0.261433348,4.100197233,4.13E-05,0.007835425,Not Significant,,,
ENSCSAG00000003111.1_MFAP3L,313.2180558,1.140061746,0.279241634,4.082706897,4.45E-05,0.008323677,Not Significant,,,
ENSCSAG00000006204.1_IQCA1,15.68840789,4.08071221,1.000064018,4.080450987,4.49E-05,0.008323677,Upregulated,,,
ENSCSAG00000012895.1_SWT1,137.2293461,-1.054462811,0.259514849,-4.063208007,4.84E-05,0.008855391,Not Significant,,,
ENSCSAG00000013817.1_TTN,615.1899538,-1.89767911,0.468204856,-4.053095744,5.05E-05,0.009137086,Not Significant,,,
ENSCSAG00000007607.1_COL4A4,74.52841626,2.03252754,0.503571468,4.036224589,5.43E-05,0.009703791,Upregulated,,,
ENSCSAG00000010628.1_CCSAP,19.70607277,-1.607766609,0.399251659,-4.026950348,5.65E-05,0.009750316,Not Significant,,,
ENSCSAG00000012108.1_SOAT1,169.9423496,-0.894507257,0.222021368,-4.028924172,5.60E-05,0.009750316,Not Significant,,,
ENSCSAG00000016040.1_SEC61G,60.44513144,1.496009086,0.371168672,4.030537057,5.56E-05,0.009750316,Not Significant,,,
ENSCSAG00000002090.1_SSR2,372.658028,0.991718625,0.246579004,4.021910249,5.77E-05,0.009843661,Not Significant,,,
ENSCSAG00000008461.1_CDH23,38.71426075,-3.843377573,0.956822783,-4.01681235,5.90E-05,0.009843661,Downregulated,,,
ENSCSAG00000016885.1_ULK4,52.80188048,-1.772280883,0.440945231,-4.019276679,5.84E-05,0.009843661,Not Significant,,,
ENSCSAG00000010749.1_CD9,168.7871394,1.301706792,0.324344078,4.013351499,5.99E-05,0.009880594,Not Significant,,,
ENSCSAG00000008224.1_NDUFB2,176.1472893,0.875540303,0.21851177,4.006833604,6.15E-05,0.010047928,Not Significant,,,
ENSCSAG00000017882.1_KLHL14,6.10214918,-4.998744773,1.249420379,-4.000851,6.31E-05,0.010195773,Downregulated,,,
ENSCSAG00000017308.1,1046.727641,0.810550365,0.204497186,3.963626001,7.38E-05,0.011799524,Not Significant,,,
ENSCSAG00000013269.1_SLC4A11,18.46367641,2.065957994,0.521797677,3.959308533,7.52E-05,0.011839413,Upregulated,,,
ENSCSAG00000014027.1_RAD54L2,316.3233143,0.924337413,0.233591927,3.957060603,7.59E-05,0.011839413,Not Significant,,,
ENSCSAG00000019406.1_MGAT2,169.7221678,0.67920813,0.171716912,3.955394506,7.64E-05,0.011839413,Not Significant,,,
ENSCSAG00000002451.1_DTX1,45.26582172,1.714971766,0.434204544,3.949686361,7.83E-05,0.011882819,Not Significant,,,
ENSCSAG00000013705.1_SEPTIN8,82.73710959,0.767918229,0.194422715,3.949735146,7.82E-05,0.011882819,Not Significant,,,
ENSCSAG00000001192.1_ATP6V0B,185.6025213,0.968864661,0.245763494,3.942264345,8.07E-05,0.01189573,Not Significant,,,
ENSCSAG00000007623.1_CHAC1,10.27351724,-4.088237083,1.037906063,-3.938927837,8.18E-05,0.01189573,Downregulated,,,
ENSCSAG00000011455.1_PDZRN3,20.04284239,-2.469075029,0.627029837,-3.937731319,8.23E-05,0.01189573,Downregulated,,,
ENSCSAG00000013638.1,1434.009562,1.454149148,0.369095161,3.939767576,8.16E-05,0.01189573,Not Significant,,,
ENSCSAG00000015346.1_FAM210B,110.7769067,1.463068455,0.371542347,3.937824231,8.22E-05,0.01189573,Not Significant,,,
ENSCSAG00000018253.1_HSBP1L1,75.3978966,1.555688667,0.395518499,3.933289266,8.38E-05,0.012003499,Not Significant,,,
ENSCSAG00000012265.1_E2F1,12.00576076,2.507319324,0.638684818,3.925753758,8.65E-05,0.012156235,Upregulated,,,
ENSCSAG00000017367.1_SLC6A3,68.34228273,3.501632295,0.891479364,3.927889347,8.57E-05,0.012156235,Upregulated,,,
ENSCSAG00000005092.1_PLEKHS1,89.46561376,-1.282201153,0.327405988,-3.916242218,8.99E-05,0.012529699,Not Significant,,,
ENSCSAG00000005290.1_IRX3,31.46314378,-1.793399864,0.458539376,-3.911114196,9.19E-05,0.012568162,Not Significant,,,
ENSCSAG00000018433.1,12.91954361,-2.247819855,0.574543369,-3.912358885,9.14E-05,0.012568162,Downregulated,,,
ENSCSAG00000009334.1_STRC,76.52220535,-1.854696969,0.474861191,-3.905766576,9.39E-05,0.01262198,Not Significant,,,
ENSCSAG00000011939.1_ANGEL1,296.4505334,-1.103034117,0.282354502,-3.906557569,9.36E-05,0.01262198,Not Significant,,,
ENSCSAG00000006926.1_DUSP9,35.19470442,1.767649858,0.452832944,3.903536351,9.48E-05,0.012627167,Not Significant,,,
ENSCSAG00000014177.1_CACNA2D2,90.63577482,-1.596668156,0.409584495,-3.898263182,9.69E-05,0.012682759,Not Significant,,,
ENSCSAG00000016921.1_CCDC115,359.0973883,1.287586507,0.330149293,3.900012918,9.62E-05,0.012682759,Not Significant,,,
ENSCSAG00000012645.1_FNDC1,20.02700807,2.605895843,0.669110681,3.894566202,9.84E-05,0.012767681,Upregulated,,,
ENSCSAG00000013860.1_TMEM9,120.5200765,1.03515725,0.266026544,3.891180304,9.98E-05,0.012837472,Not Significant,,,
ENSCSAG00000014075.1_STK31,591.1851764,-0.702238567,0.180752418,-3.885085324,0.000102294,0.012944448,Not Significant,,,
ENSCSAG00000017893.1_NOL4,3.40981416,-3.400353095,0.875205613,-3.885204855,0.000102244,0.012944448,Downregulated,,,
ENSCSAG00000009417.1_TAP1,99.64136392,1.39321966,0.358963115,3.881233478,0.000103928,0.013042535,Not Significant,,,
ENSCSAG00000004505.1_RXYLT1,29.26996106,1.061507963,0.273913636,3.875338143,0.000106477,0.01319339,Not Significant,,,
ENSCSAG00000014128.1_TTPAL,96.61999315,-1.614600974,0.416850249,-3.873335757,0.000107356,0.01319339,Not Significant,,,
ENSCSAG00000014147.1,29.68384357,1.613938713,0.416772101,3.872473012,0.000107737,0.01319339,Not Significant,,,
ENSCSAG00000015278.1_SYT14,14.7525178,-2.442681967,0.631237144,-3.869674005,0.000108981,0.013239009,Downregulated,,,
ENSCSAG00000005835.1_TRIM37,63.66293915,0.95373036,0.246692455,3.866070246,0.000110603,0.013329428,Not Significant,,,
ENSCSAG00000007500.1_DNAJC12,7.853820181,-2.67756601,0.693852521,-3.858984335,0.000113859,0.01334695,Downregulated,,,
ENSCSAG00000009177.1_UNC5A,115.148765,1.446591481,0.375236958,3.85514126,0.000115663,0.01334695,Not Significant,,,
ENSCSAG00000012622.1_LRRC31,58.96779322,1.909274342,0.495351585,3.854382219,0.000116022,0.01334695,Not Significant,,,
ENSCSAG00000012938.1_IGDCC4,128.2494295,0.933776534,0.241823993,3.861389119,0.000112744,0.01334695,Not Significant,,,
ENSCSAG00000014375.1_TOX,82.85312619,-1.793799421,0.464328174,-3.863214684,0.000111905,0.01334695,Not Significant,,,
ENSCSAG00000017783.1,34.26450035,-1.017232387,0.263675793,-3.857890692,0.00011437,0.01334695,Not Significant,,,
ENSCSAG00000015465.1_CSRNP3,26.58219483,-1.555709893,0.403904191,-3.851680496,0.00011731,0.013393629,Not Significant,,,
ENSCSAG00000003361.1_AOC3,45.99935283,-1.850765808,0.481750309,-3.841753232,0.000122159,0.013639549,Not Significant,,,
ENSCSAG00000004051.1_UCP2,500.6718264,1.052719776,0.273897244,3.84348437,0.0001213,0.013639549,Not Significant,,,
ENSCSAG00000008329.1_LCA5L,132.8237934,-0.785989902,0.204499943,-3.843472477,0.000121306,0.013639549,Not Significant,,,
ENSCSAG00000003832.1_RPS16,972.2319952,0.836833478,0.218530686,3.829363703,0.000128475,0.01415094,Not Significant,,,
ENSCSAG00000014221.1_OSBPL6,11.15234423,-2.521776432,0.65857867,-3.829119503,0.000128603,0.01415094,Downregulated,,,
ENSCSAG00000014333.1_CHI3L1,332.2678912,-3.114257163,0.813701594,-3.827271796,0.000129571,0.014154978,Downregulated,,,
ENSCSAG00000005397.1_CYP17A1,589.6883264,-1.17768533,0.309141521,-3.809534636,0.000139229,0.015101331,Not Significant,,,
ENSCSAG00000011610.1_ERICH6,250.6552729,3.2368213,0.850178016,3.80722771,0.000140533,0.015134743,Upregulated,,,
ENSCSAG00000018143.1,112.4045402,-1.169896384,0.307634292,-3.802880286,0.000143023,0.015294447,Not Significant,,,
ENSCSAG00000008671.1_VLDLR,198.6526907,1.653698232,0.435457811,3.797608382,0.000146099,0.015358754,Not Significant,,,
ENSCSAG00000011213.1_GALNT14,20.32211982,2.180979132,0.574446897,3.796659262,0.000146659,0.015358754,Upregulated,,,
ENSCSAG00000016013.1_RPS21,870.7243503,1.812841523,0.4773318,3.79786455,0.000145948,0.015358754,Not Significant,,,
ENSCSAG00000019620.1,25.49484741,-2.457648719,0.648021058,-3.792544528,0.000149112,0.015508618,Downregulated,,,
ENSCSAG00000005452.1_SPATA20,30.73062319,-1.629795729,0.43025142,-3.788007783,0.00015186,0.015687044,Not Significant,,,
ENSCSAG00000013312.1_PAG1,85.64071047,1.513502982,0.399836362,3.785306004,0.00015352,0.015751314,Not Significant,,,
ENSCSAG00000009910.1_IFITM10,9.193812936,-3.88456328,1.026893132,-3.782831104,0.000155055,0.015802044,Downregulated,,,
ENSCSAG00000001225.1_PIK3R3,18.48274183,1.740368631,0.460844652,3.776475705,0.000159063,0.015996469,Not Significant,,,
ENSCSAG00000008403.1_CFAP95,99.75932706,-0.997564118,0.264267938,-3.774820831,0.000160123,0.015996469,Not Significant,,,
ENSCSAG00000016856.1_PRAG1,99.77547641,1.221584003,0.323491126,3.776251977,0.000159206,0.015996469,Not Significant,,,
ENSCSAG00000017521.1_RAP2A,479.5849818,1.516682703,0.403574876,3.758119726,0.000171195,0.016990821,Not Significant,,,
ENSCSAG00000004217.1,14.18695056,-1.949501837,0.519280541,-3.754236264,0.000173871,0.017035656,Not Significant,,,
ENSCSAG00000005246.1_PA2G4,147.8969219,-0.662292025,0.17641325,-3.75420795,0.00017389,0.017035656,Not Significant,,,
ENSCSAG00000005389.1_IFI30,204.636561,-1.339034319,0.357748188,-3.742952067,0.000181871,0.01759051,Not Significant,,,
ENSCSAG00000014921.1_ACE2,128.601563,-1.096062821,0.292779644,-3.743644218,0.00018137,0.01759051,Not Significant,,,
ENSCSAG00000011083.1_SEC61B,180.5483814,0.883395064,0.236121091,3.741279776,0.000183086,0.017595914,Not Significant,,,
ENSCSAG00000017368.1_CLPTM1L,264.0409337,0.733739496,0.196249201,3.738815198,0.00018489,0.017657536,Not Significant,,,
ENSCSAG00000001087.1_PSMB2,440.5258213,0.964196732,0.258470417,3.73039492,0.00019118,0.018079267,Not Significant,,,
ENSCSAG00000007466.1_TMTC1,119.3034831,1.10386371,0.295963604,3.7297279,0.000191687,0.018079267,Not Significant,,,
ENSCSAG00000004072.1_TRHDE,30.19397715,-1.404497866,0.376959672,-3.725857089,0.000194653,0.018227319,Not Significant,,,
ENSCSAG00000007118.1_SLC19A3,963.4401334,-0.525795626,0.141169908,-3.724558809,0.000195657,0.018227319,Not Significant,,,
ENSCSAG00000005836.1_CHADL,17.67406296,-3.027178173,0.813884567,-3.719419552,0.000199681,0.018488768,Downregulated,,,
ENSCSAG00000003861.1_MYO7A,206.2065932,1.296575867,0.349455435,3.710275293,0.000207034,0.019053401,Not Significant,,,
ENSCSAG00000005899.1,8.929609077,1.761567997,0.475200544,3.706999114,0.00020973,0.019185212,Not Significant,,,
ENSCSAG00000008863.1,75.5823209,-1.66075723,0.449220487,-3.69697571,0.000218183,0.019838994,Not Significant,,,
ENSCSAG00000015588.1_RTKN,48.10220549,-1.18579093,0.321028574,-3.693723943,0.000220994,0.019856743,Not Significant,,,
ENSCSAG00000018046.1_CTSS,78.91320665,1.049222493,0.284020488,3.694178897,0.000220598,0.019856743,Not Significant,,,
ENSCSAG00000002720.1_ERBB2,472.5772396,-0.926257192,0.251541982,-3.682316503,0.000231124,0.020383524,Not Significant,,,
ENSCSAG00000012292.1_SH3RF2,66.83203373,-1.494129493,0.405851606,-3.681467489,0.000231895,0.020383524,Not Significant,,,
ENSCSAG00000013731.1,611.5996071,0.915404892,0.248529912,3.683278539,0.000230253,0.020383524,Not Significant,,,
ENSCSAG00000014323.1_C17orf97,126.9437141,-0.789060717,0.214354342,-3.68110443,0.000232226,0.020383524,Not Significant,,,
ENSCSAG00000012815.1_TNFSF10,543.6362838,-0.525861862,0.143135224,-3.673881585,0.000238893,0.020848261,Not Significant,,,
ENSCSAG00000009159.1_LY6E,209.4024253,1.037817468,0.28284264,3.669239789,0.000243273,0.020993214,Not Significant,,,
ENSCSAG00000010616.1_ABCB10,175.255427,0.64477324,0.175726277,3.669190797,0.000243319,0.020993214,Not Significant,,,
ENSCSAG00000015226.1_HOMER1,78.68120755,-1.191595572,0.324948919,-3.667024269,0.00024539,0.021052202,Not Significant,,,
ENSCSAG00000006378.1_VWCE,239.6129493,-2.185990985,0.596817844,-3.662744012,0.000249528,0.02128697,Downregulated,,,
ENSCSAG00000000892.1_CAMK2N1,8.255784444,-2.710660013,0.740757858,-3.659306456,0.000252899,0.021334821,Downregulated,,,
ENSCSAG00000019115.1,16.45254926,-3.895006554,1.064221227,-3.659959468,0.000252255,0.021334821,Downregulated,,,
ENSCSAG00000009826.1_CD163,88.85158143,-1.111070904,0.304663251,-3.64688193,0.000265442,0.022158459,Not Significant,,,
ENSCSAG00000012451.1_COL3A1,323.8629098,1.005088823,0.275650778,3.646239743,0.000266106,0.022158459,Not Significant,,,
ENSCSAG00000019501.1,26.74411784,-4.946226872,1.356863402,-3.64533885,0.00026704,0.022158459,Downregulated,,,
ENSCSAG00000007809.1_GPC4,151.9700612,0.875003883,0.240352109,3.640508444,0.0002721,0.022455659,Not Significant,,,
ENSCSAG00000012013.1_HEATR5B,649.1850011,-0.599382212,0.16478089,-3.637449788,0.000275351,0.022601095,Not Significant,,,
ENSCSAG00000014880.1_RHEX,10.64373586,6.240776369,1.717445913,3.63375424,0.000279327,0.022804191,Upregulated,,,
ENSCSAG00000016528.1_OBSCN,23.54375365,-1.874082732,0.516053791,-3.631564705,0.000281708,0.022875594,Not Significant,,,
ENSCSAG00000003456.1_DUSP3,695.0638309,0.866714503,0.238914808,3.627713626,0.000285942,0.023008878,Not Significant,,,
ENSCSAG00000013150.1_SMTNL2,27.15280794,1.86184617,0.513284433,3.6273186,0.00028638,0.023008878,Not Significant,,,
ENSCSAG00000004402.1_PPFIBP2,106.5842197,-0.902366748,0.249231551,-3.620595962,0.000293925,0.023139683,Not Significant,,,
ENSCSAG00000008520.1,2.376536381,5.051520375,1.395278319,3.620439238,0.000294103,0.023139683,Upregulated,,,
ENSCSAG00000015636.1_DDX56,368.7185953,-0.877388021,0.2421136,-3.623869211,0.000290228,0.023139683,Not Significant,,,
ENSCSAG00000017247.1_LRP11,761.4377885,1.264291492,0.34909103,3.621667079,0.000292711,0.023139683,Not Significant,,,
ENSCSAG00000014838.1_CDO1,785.4516597,-0.877153231,0.242487897,-3.617307264,0.000297684,0.023300666,Not Significant,,,
ENSCSAG00000014597.1_RPS20,1446.132467,0.900257712,0.249233518,3.612105302,0.000303721,0.023651313,Not Significant,,,
ENSCSAG00000005935.1_EPHA3,100.2530054,1.458288329,0.403913997,3.610393154,0.000305733,0.023686526,Not Significant,,,
ENSCSAG00000006251.1_PDE6C,21.88668322,-2.058410236,0.571871458,-3.599428173,0.000318918,0.024335504,Downregulated,,,
ENSCSAG00000007142.1,200.5963435,1.512436353,0.42008882,3.600277562,0.000317878,0.024335504,Not Significant,,,
ENSCSAG00000008309.1_BPIFC,5.078836207,-3.656801321,1.015245552,-3.601888541,0.000315914,0.024335504,Downregulated,,,
ENSCSAG00000003174.1_MSMO1,1093.738802,1.151366852,0.320545429,3.591899138,0.000328277,0.024800422,Not Significant,,,
ENSCSAG00000005706.1_SMDT1,73.7384385,0.934762473,0.260227379,3.592098867,0.000328025,0.024800422,Not Significant,,,
ENSCSAG00000014127.1_DCLK3,22.33127921,2.850217395,0.79508991,3.584773697,0.000337371,0.025361251,Upregulated,,,
ENSCSAG00000013012.1_SERAC1,141.6869791,-0.888554306,0.248039665,-3.582307315,0.000340573,0.025475853,Not Significant,,,
ENSCSAG00000015928.1_NLN,80.15728009,0.891311865,0.248974456,3.579932967,0.000343682,0.025582435,Not Significant,,,
ENSCSAG00000003153.1_DYNC2H1,44.59689215,-1.465167892,0.409470604,-3.578200428,0.000345968,0.025626955,Not Significant,,,
ENSCSAG00000008748.1_UNC93B1,169.1717474,0.981311621,0.274523936,3.57459403,0.000350772,0.025632268,Not Significant,,,
ENSCSAG00000013382.1_SLC23A2,444.0619949,-1.225359247,0.342703031,-3.575571668,0.000349463,0.025632268,Not Significant,,,
ENSCSAG00000018731.1,624.5425085,0.728518738,0.203818728,3.574346407,0.000351104,0.025632268,Not Significant,,,
ENSCSAG00000018762.1_SOX12,8.555834742,2.401598897,0.672587207,3.570687745,0.000356045,0.025868639,Upregulated,,,
ENSCSAG00000005237.1_ARL14EP,188.5306625,-0.774474376,0.217257244,-3.564780441,0.000364161,0.026332301,Not Significant,,,
ENSCSAG00000006733.1_HTR2B,17.20706208,-1.241830504,0.34861459,-3.562187416,0.000367778,0.026373677,Not Significant,,,
