,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Regulation status,Upregulated,Downregulated,Not significant
ENSCSAG00000018709.1,581.5009291,-9.086721002,1.136202008,-7.997451984,1.27E-15,2.02E-11,Downregulated,37,94,18714
ENSCSAG00000004542.1_SLC16A7,39.20403033,2.361595215,0.337831455,6.990453905,2.74E-12,2.18E-08,Upregulated,,,
ENSCSAG00000006767.1_SLC16A12,108.4944298,2.197453911,0.345292714,6.364032087,1.97E-10,7.98E-07,Upregulated,,,
ENSCSAG00000016658.1_PNP,23.39716019,-4.411609712,0.695367078,-6.344289015,2.23E-10,7.98E-07,Downregulated,,,
ENSCSAG00000018627.1,35.15408984,-4.065063842,0.642541709,-6.326536918,2.51E-10,7.98E-07,Downregulated,,,
ENSCSAG00000018536.1,26.91572338,-4.01392568,0.667305867,-6.015121223,1.80E-09,4.77E-06,Downregulated,,,
ENSCSAG00000003978.1_DKK2,32.10175024,-7.262094489,1.236177509,-5.874637289,4.24E-09,8.43E-06,Downregulated,,,
ENSCSAG00000012938.1_IGDCC4,128.2494295,1.303650445,0.221259894,5.891941926,3.82E-09,8.43E-06,Not Significant,,,
ENSCSAG00000003861.1_MYO7A,206.2065932,1.837134904,0.32296481,5.688343889,1.28E-08,1.85E-05,Not Significant,,,
ENSCSAG00000011665.1,20.66747381,-4.362186016,0.763515326,-5.713292012,1.11E-08,1.85E-05,Downregulated,,,
ENSCSAG00000013817.1_TTN,615.1899538,-2.480850624,0.435800861,-5.692624426,1.25E-08,1.85E-05,Downregulated,,,
ENSCSAG00000009682.1_TRPM5,41.6888664,-5.885676978,1.041397782,-5.651708769,1.59E-08,2.11E-05,Downregulated,,,
ENSCSAG00000008255.1_RSL1D1,608.4699981,-1.365311281,0.245620085,-5.558630433,2.72E-08,3.33E-05,Not Significant,,,
ENSCSAG00000011858.1,48.9844741,-7.787626749,1.417306995,-5.494664725,3.91E-08,4.45E-05,Downregulated,,,
ENSCSAG00000004944.1_UGT2A1,8.412695565,-6.736055313,1.24202328,-5.423453348,5.85E-08,6.20E-05,Downregulated,,,
ENSCSAG00000009826.1_CD163,88.85158143,-1.505443264,0.2797255,-5.381859229,7.37E-08,7.33E-05,Not Significant,,,
ENSCSAG00000017367.1_SLC6A3,68.34228273,4.45819656,0.830640214,5.367181226,8.00E-08,7.48E-05,Upregulated,,,
ENSCSAG00000010066.1_CRYGD,77.22252761,4.131279814,0.776216788,5.322327314,1.02E-07,9.05E-05,Upregulated,,,
ENSCSAG00000015099.1_SFRP1,205.4774861,-3.032300134,0.571192611,-5.308717363,1.10E-07,9.24E-05,Downregulated,,,
ENSCSAG00000015995.1_CHRNA2,75.85135504,-3.700566212,0.699943342,-5.286951089,1.24E-07,9.89E-05,Downregulated,,,
ENSCSAG00000015906.1,80.91182638,-1.493415358,0.283487373,-5.268013673,1.38E-07,0.000104455,Not Significant,,,
ENSCSAG00000012586.1_FSIP2,6.630615019,-3.808216144,0.724215968,-5.258398477,1.45E-07,0.000105063,Downregulated,,,
ENSCSAG00000013682.1_AFF4,341.5039773,-0.943319301,0.180294692,-5.232096913,1.68E-07,0.000115905,Not Significant,,,
ENSCSAG00000002525.1_TMEM116,24.35297842,-5.856300277,1.123493265,-5.212581559,1.86E-07,0.000123424,Downregulated,,,
ENSCSAG00000012329.1_RHBDL1,24.05183199,-3.376734069,0.649836128,-5.196285529,2.03E-07,0.000129354,Downregulated,,,
ENSCSAG00000011252.1_GK5,29.98770244,-2.528279118,0.488078586,-5.180065649,2.22E-07,0.000130669,Downregulated,,,
ENSCSAG00000016841.1_PNPLA7,542.2879063,1.443242752,0.278446041,5.183204421,2.18E-07,0.000130669,Not Significant,,,
ENSCSAG00000019553.1,49.6328524,1.517690812,0.29535543,5.138523482,2.77E-07,0.000157302,Not Significant,,,
ENSCSAG00000011175.1_PLPPR1,11.68320559,-3.149551946,0.613830373,-5.13098094,2.88E-07,0.000158093,Downregulated,,,
ENSCSAG00000004375.1_HELB,1000.893967,-0.633721091,0.125995598,-5.0297082,4.91E-07,0.000260448,Not Significant,,,
ENSCSAG00000011118.1_BMS1,469.0219151,-1.173626601,0.235460552,-4.984387373,6.22E-07,0.000318933,Not Significant,,,
ENSCSAG00000014333.1_CHI3L1,332.2678912,-3.763810824,0.757465546,-4.968953169,6.73E-07,0.000334599,Downregulated,,,
ENSCSAG00000005520.1_ESPL1,67.11330028,-2.718011914,0.549549438,-4.945891532,7.58E-07,0.000365337,Downregulated,,,
ENSCSAG00000008613.1_DTNB,73.95704286,1.322828034,0.268926788,4.918915076,8.70E-07,0.000395492,Not Significant,,,
ENSCSAG00000014027.1_RAD54L2,316.3233143,1.062088577,0.215847713,4.920545889,8.63E-07,0.000395492,Not Significant,,,
ENSCSAG00000006926.1_DUSP9,35.19470442,2.044013315,0.417338467,4.897735238,9.69E-07,0.000428347,Upregulated,,,
ENSCSAG00000004479.1_ADAM12,21.66387862,-3.62513379,0.743506293,-4.875727115,1.08E-06,0.000460693,Downregulated,,,
ENSCSAG00000019620.1,25.49484741,-2.889225466,0.592936538,-4.872739797,1.10E-06,0.000460693,Downregulated,,,
ENSCSAG00000009910.1_IFITM10,9.193812936,-4.521344641,0.93243603,-4.8489596,1.24E-06,0.000506181,Downregulated,,,
ENSCSAG00000012108.1_SOAT1,169.9423496,-0.978050517,0.203087718,-4.815901857,1.47E-06,0.000582703,Not Significant,,,
ENSCSAG00000003331.1_PRSS48,27.72100103,-1.152148852,0.240139301,-4.797835447,1.60E-06,0.000607418,Not Significant,,,
ENSCSAG00000019058.1_OTUD1,42.04275816,-1.484372477,0.309201798,-4.800659269,1.58E-06,0.000607418,Not Significant,,,
ENSCSAG00000003488.1,12.9869405,-2.824577352,0.589622695,-4.790482752,1.66E-06,0.000615453,Downregulated,,,
ENSCSAG00000017572.1_SLAIN1,7.771720135,-3.387985041,0.712655223,-4.754031023,1.99E-06,0.000720833,Downregulated,,,
ENSCSAG00000005452.1_SPATA20,30.73062319,-1.849189862,0.390845045,-4.731260853,2.23E-06,0.000771543,Not Significant,,,
ENSCSAG00000009455.1,58.48662131,2.679421902,0.566212316,4.73218584,2.22E-06,0.000771543,Upregulated,,,
ENSCSAG00000009177.1_UNC5A,115.148765,1.639700095,0.346976377,4.725682224,2.29E-06,0.000776159,Not Significant,,,
ENSCSAG00000015492.1_ARHGEF28,178.8570903,0.839130381,0.177915774,4.716447355,2.40E-06,0.000795295,Not Significant,,,
ENSCSAG00000001345.1_EFCAB7,11.0877124,-2.857987672,0.606647862,-4.711114717,2.46E-06,0.000799733,Downregulated,,,
ENSCSAG00000017684.1_ATP7B,556.525747,0.819076453,0.174691159,4.688711552,2.75E-06,0.000874609,Not Significant,,,
ENSCSAG00000005389.1_IFI30,204.636561,-1.540418409,0.330946102,-4.65458997,3.25E-06,0.000992981,Not Significant,,,
ENSCSAG00000013863.1,107.9533561,-1.47541482,0.316874246,-4.65615252,3.22E-06,0.000992981,Not Significant,,,
ENSCSAG00000005290.1_IRX3,31.46314378,-1.928860429,0.415495207,-4.642316917,3.45E-06,0.001033962,Not Significant,,,
ENSCSAG00000002747.1_DDR2,47.69530689,-1.169391231,0.253026024,-4.621624333,3.81E-06,0.001081458,Not Significant,,,
ENSCSAG00000010676.1_SCNN1A,23.93010678,-2.247056534,0.485866111,-4.624847218,3.75E-06,0.001081458,Downregulated,,,
ENSCSAG00000014222.1_VXN,47.74162376,-0.801150277,0.173337488,-4.621910038,3.80E-06,0.001081458,Not Significant,,,
ENSCSAG00000006186.1,8.885824137,-2.679430973,0.580915212,-4.612430386,3.98E-06,0.001110596,Downregulated,,,
ENSCSAG00000017673.1_FSCN1,112.0767255,0.96879382,0.210341854,4.605806231,4.11E-06,0.001126778,Not Significant,,,
ENSCSAG00000001286.1_SLC1A7,7.469826472,3.213830712,0.700122314,4.59038463,4.42E-06,0.001192761,Upregulated,,,
ENSCSAG00000015531.1_DBH,5.129316969,-4.523937435,0.989717368,-4.570938716,4.86E-06,0.001266077,Downregulated,,,
ENSCSAG00000018278.1,61.19360099,-3.144586918,0.687703522,-4.572590976,4.82E-06,0.001266077,Downregulated,,,
ENSCSAG00000007118.1_SLC19A3,963.4401334,-0.594418556,0.130370336,-4.55946173,5.13E-06,0.001274959,Not Significant,,,
ENSCSAG00000013382.1_SLC23A2,444.0619949,-1.450571938,0.318149673,-4.559401002,5.13E-06,0.001274959,Not Significant,,,
ENSCSAG00000018433.1,12.91954361,-2.342867778,0.513788991,-4.559980496,5.12E-06,0.001274959,Downregulated,,,
ENSCSAG00000012887.1_IGDCC3,23.74004072,3.200695555,0.70289928,4.553562148,5.27E-06,0.001290713,Upregulated,,,
ENSCSAG00000008892.1_PNKD,1359.816822,0.91087294,0.200194402,4.549942118,5.37E-06,0.001293222,Not Significant,,,
ENSCSAG00000014934.1_MST1,433.431417,-0.98667455,0.21725286,-4.541595215,5.58E-06,0.001325425,Not Significant,,,
ENSCSAG00000010283.1_PTPRS,719.3042128,1.520695392,0.335659306,4.530472909,5.89E-06,0.001376613,Not Significant,,,
ENSCSAG00000004072.1_TRHDE,30.19397715,-1.528489685,0.339913988,-4.496695452,6.90E-06,0.00154673,Not Significant,,,
ENSCSAG00000012645.1_FNDC1,20.02700807,2.799643736,0.622610499,4.496621466,6.90E-06,0.00154673,Upregulated,,,
ENSCSAG00000019115.1,16.45254926,-4.37392445,0.971951029,-4.500148999,6.79E-06,0.00154673,Downregulated,,,
ENSCSAG00000002156.1_TTC24,10.64129691,-1.915291222,0.426416888,-4.491593265,7.07E-06,0.001561711,Not Significant,,,
ENSCSAG00000000892.1_CAMK2N1,8.255784444,-2.964257809,0.662242011,-4.476094481,7.60E-06,0.001656422,Downregulated,,,
ENSCSAG00000003361.1_AOC3,45.99935283,-1.957389461,0.440490347,-4.443660289,8.84E-06,0.001826943,Not Significant,,,
ENSCSAG00000006218.1_LGI1,5.529705593,-3.49308545,0.784732531,-4.451307056,8.53E-06,0.001826943,Downregulated,,,
ENSCSAG00000008375.1_SPTBN2,214.2728958,-0.939633306,0.211399376,-4.444825346,8.80E-06,0.001826943,Not Significant,,,
ENSCSAG00000012882.1_WNT5A,50.95958645,1.547696654,0.348088598,4.44627219,8.74E-06,0.001826943,Not Significant,,,
ENSCSAG00000009334.1_STRC,76.52220535,-1.933031093,0.436541441,-4.428058621,9.51E-06,0.001914459,Not Significant,,,
ENSCSAG00000012722.1_EIF5A2,306.4360745,1.420067962,0.320649608,4.428721962,9.48E-06,0.001914459,Not Significant,,,
ENSCSAG00000008430.1,13.19473041,-3.418412872,0.773573723,-4.418987839,9.92E-06,0.001971633,Downregulated,,,
ENSCSAG00000002310.1_NPTX1,28.09307509,-1.573643026,0.35767274,-4.399672798,1.08E-05,0.002105437,Not Significant,,,
ENSCSAG00000018143.1,112.4045402,-1.240539463,0.28197805,-4.39941855,1.09E-05,0.002105437,Not Significant,,,
ENSCSAG00000007522.1_KNSTRN,4.256478122,-2.828186728,0.644480566,-4.388319644,1.14E-05,0.002189083,Downregulated,,,
ENSCSAG00000010272.1_LMOD2,10.88501849,-2.86996586,0.655486456,-4.378375528,1.20E-05,0.00226409,Downregulated,,,
ENSCSAG00000012136.1_FOS,37.08365112,-1.964487395,0.45008344,-4.364718231,1.27E-05,0.002365338,Not Significant,,,
ENSCSAG00000017308.1,1046.727641,0.828562766,0.189876744,4.363687453,1.28E-05,0.002365338,Not Significant,,,
ENSCSAG00000010628.1_CCSAP,19.70607277,-1.532912475,0.353661118,-4.334410529,1.46E-05,0.002658347,Not Significant,,,
ENSCSAG00000014921.1_ACE2,128.601563,-1.163565722,0.268534157,-4.333026879,1.47E-05,0.002658347,Not Significant,,,
ENSCSAG00000002451.1_DTX1,45.26582172,1.729185856,0.401465708,4.307181959,1.65E-05,0.002904521,Not Significant,,,
ENSCSAG00000011455.1_PDZRN3,20.04284239,-2.43795553,0.565611092,-4.310303611,1.63E-05,0.002904521,Downregulated,,,
ENSCSAG00000014593.1_SH3KBP1,104.2978318,1.265438621,0.29387234,4.306082774,1.66E-05,0.002904521,Not Significant,,,
ENSCSAG00000002357.1_C1QTNF1,593.9464928,0.917424715,0.213559963,4.295864745,1.74E-05,0.003008545,Not Significant,,,
ENSCSAG00000010001.1_MN1,35.48171659,-2.384604239,0.555571695,-4.292162939,1.77E-05,0.003026262,Downregulated,,,
ENSCSAG00000012441.1_BPIFB6,7.401190937,5.879769813,1.375394903,4.274968448,1.91E-05,0.003200695,Upregulated,,,
ENSCSAG00000015148.1_TMC3,47.58035265,3.562140912,0.832840503,4.277098556,1.89E-05,0.003200695,Upregulated,,,
ENSCSAG00000004509.1_AVPR1A,126.5693994,-1.356126019,0.317702668,-4.268538338,1.97E-05,0.003220735,Not Significant,,,
ENSCSAG00000013524.1_MCFD2,2991.086946,-0.475978967,0.111454158,-4.270625476,1.95E-05,0.003220735,Not Significant,,,
ENSCSAG00000015278.1_SYT14,14.7525178,-2.415482778,0.566131846,-4.266643532,1.98E-05,0.003220735,Downregulated,,,
ENSCSAG00000016363.1,3.720866787,-4.638101885,1.088058451,-4.262732282,2.02E-05,0.003244541,Downregulated,,,
ENSCSAG00000013376.1_CXCL14,12.1881718,-1.715873893,0.405184744,-4.23479392,2.29E-05,0.003638679,Not Significant,,,
ENSCSAG00000006733.1_HTR2B,17.20706208,-1.297899084,0.307567619,-4.21988208,2.44E-05,0.003849412,Not Significant,,,
ENSCSAG00000018268.1_AUTS2,390.8844013,0.965648089,0.229510836,4.207418293,2.58E-05,0.004028035,Not Significant,,,
ENSCSAG00000006204.1_IQCA1,15.68840789,3.962525989,0.943969086,4.197728556,2.70E-05,0.004163442,Upregulated,,,
ENSCSAG00000017882.1_KLHL14,6.10214918,-4.596679245,1.096949485,-4.190420168,2.78E-05,0.004258501,Downregulated,,,
ENSCSAG00000008439.1_RASD1,22.78234243,-2.698074099,0.645716641,-4.178418097,2.94E-05,0.004415468,Downregulated,,,
ENSCSAG00000016885.1_ULK4,52.80188048,-1.677760986,0.401582989,-4.177868661,2.94E-05,0.004415468,Not Significant,,,
ENSCSAG00000007584.1_MRPS35,120.0196061,1.005984803,0.240973877,4.174663304,2.98E-05,0.004436244,Not Significant,,,
ENSCSAG00000013592.1_PAQR5,80.72182769,1.013618279,0.243335764,4.165512957,3.11E-05,0.004575232,Not Significant,,,
ENSCSAG00000005168.1_ANO5,16.72380503,-2.976099293,0.715626401,-4.15873323,3.20E-05,0.004669905,Downregulated,,,
ENSCSAG00000019435.1,42.58424359,-2.415290652,0.581421469,-4.15411329,3.27E-05,0.004721933,Downregulated,,,
ENSCSAG00000008863.1,75.5823209,-1.71337558,0.412697353,-4.151651489,3.30E-05,0.004730024,Not Significant,,,
ENSCSAG00000011213.1_GALNT14,20.32211982,2.208274265,0.533000599,4.143099029,3.43E-05,0.004866155,Upregulated,,,
ENSCSAG00000012292.1_SH3RF2,66.83203373,-1.534700745,0.371453242,-4.131612192,3.60E-05,0.004939468,Not Significant,,,
ENSCSAG00000013860.1_TMEM9,120.5200765,1.013653017,0.245115807,4.135404516,3.54E-05,0.004939468,Not Significant,,,
ENSCSAG00000016124.1_NIPSNAP2,362.2480992,-0.556144661,0.134605906,-4.131651263,3.60E-05,0.004939468,Not Significant,,,
ENSCSAG00000019130.1_LRRN3,33.89919345,-1.717676309,0.415244414,-4.136542843,3.53E-05,0.004939468,Not Significant,,,
ENSCSAG00000013269.1_SLC4A11,18.46367641,1.995435156,0.484148381,4.121536364,3.76E-05,0.005116485,Not Significant,,,
ENSCSAG00000012079.1_UNC93A,17.551645,-5.115332853,1.242862259,-4.115768111,3.86E-05,0.005201695,Downregulated,,,
ENSCSAG00000000189.1,40.19491094,-1.387558038,0.337543058,-4.110758634,3.94E-05,0.005271185,Not Significant,,,
ENSCSAG00000011349.1_DCP1B,1313.817801,-0.413614004,0.100867339,-4.100574158,4.12E-05,0.005462735,Not Significant,,,
ENSCSAG00000017246.1_ALPK3,77.20370334,1.490222464,0.363772193,4.096581583,4.19E-05,0.005511833,Not Significant,,,
ENSCSAG00000016159.1_KIF5C,29.63006667,-1.760867531,0.430294632,-4.092236808,4.27E-05,0.005570125,Not Significant,,,
ENSCSAG00000019501.1,26.74411784,-5.084423464,1.243329433,-4.08936146,4.33E-05,0.00559377,Downregulated,,,
ENSCSAG00000000183.1,11.3834287,-4.824075112,1.182190148,-4.080625373,4.49E-05,0.005703328,Downregulated,,,
ENSCSAG00000007755.1_POLA2,22.42168426,1.280246027,0.313984147,4.077422508,4.55E-05,0.005703328,Not Significant,,,
ENSCSAG00000014003.1_EML6,6.309605354,-2.936742945,0.719871303,-4.079538848,4.51E-05,0.005703328,Downregulated,,,
ENSCSAG00000014838.1_CDO1,785.4516597,-0.917137281,0.224892904,-4.078106803,4.54E-05,0.005703328,Not Significant,,,
ENSCSAG00000017609.1_TTYH3,531.2952407,1.015777878,0.249860378,4.065381976,4.80E-05,0.005959016,Not Significant,,,
ENSCSAG00000011431.1_TTC7B,94.44159664,0.990779676,0.244376164,4.054322072,5.03E-05,0.006199629,Not Significant,,,
ENSCSAG00000011906.1_FZD6,80.41052895,1.126380009,0.278482641,4.044704571,5.24E-05,0.006410013,Not Significant,,,
