,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Regulation status,Upregulated,Downregulated,Not significant
ENSCSAG00000000323.1_TCEAL5,0.295529743,-0.644175112,2.344456962,-0.274765168,0.78349666,1,Not Significant,0,0,
ENSCSAG00000000324.1,0.451650932,-0.244285911,1.890794981,-0.129197461,0.897201405,1,Not Significant,0,0,
ENSCSAG00000000325.1,9.777939844,-0.243148839,0.408909483,-0.594627538,0.552092468,1,Not Significant,0,0,
ENSCSAG00000000326.1_ARMCX5,31.2032935,0.273931072,0.217759604,1.257951735,0.208409212,1,Not Significant,0,0,
ENSCSAG00000000327.1,0.827044366,0.512828124,1.291042385,0.397220207,0.691205082,1,Not Significant,0,0,
ENSCSAG00000000328.1_TCEAL2,3.64772429,0.573789467,0.706438195,0.812228827,0.416660341,1,Not Significant,0,0,
ENSCSAG00000000329.1_ARMCX3,56.06498565,-0.05409637,0.19971503,-0.270867797,0.786492713,1,Not Significant,0,0,
ENSCSAG00000000330.1_ARMCX6,8.912525718,0.232396638,0.401677729,0.578564908,0.562882789,1,Not Significant,0,0,
ENSCSAG00000000331.1,0.178560208,-0.667112796,2.907046465,-0.229481298,0.818494855,1,Not Significant,0,0,
ENSCSAG00000000332.1,0.856390242,-0.635706494,1.329012662,-0.4783299,0.632415418,1,Not Significant,0,0,
ENSCSAG00000000333.1,0.403386168,-0.265224455,1.676983529,-0.158155671,0.874334133,1,Not Significant,0,0,
ENSCSAG00000000334.1,0.153160109,0.360764805,3.016816403,0.119584607,0.904812214,1,Not Significant,0,0,
ENSCSAG00000000335.1_TRAJ53,0.129810536,-0.341278037,3.087338721,-0.110541171,0.9119802,1,Not Significant,0,0,
ENSCSAG00000000336.1,0.299462915,0.314733978,2.042652483,0.15408102,0.877545853,1,Not Significant,0,0,
ENSCSAG00000000337.1,1.486238273,-0.840302865,1.18400393,-0.709712902,0.47788219,1,Not Significant,0,0,
ENSCSAG00000000338.1_OR4E2,0.022190865,-0.368594682,3.400880448,-0.108382134,0.913692572,1,Not Significant,0,0,
ENSCSAG00000000339.1_OR10G2,0.027555154,-0.398630273,3.401262683,-0.117200672,0.906701034,1,Not Significant,0,0,
ENSCSAG00000000340.1_OR10G3,0.064460961,0,3.404921788,0,1,1,Not Significant,0,0,
ENSCSAG00000000341.1_RNASE8,0.143889317,0.3151261,3.036223153,0.103788847,0.917336918,1,Not Significant,0,0,
ENSCSAG00000000342.1,0.141450083,-1.765798708,3.390483918,-0.52081023,0.602498976,1,Not Significant,0,0,
ENSCSAG00000000343.1_RNASE13,0.34770149,0.046947558,2.829124272,0.016594378,0.986760209,1,Not Significant,0,0,
ENSCSAG00000000344.1_RNASE2,0.528551436,-0.539039569,1.569673501,-0.343408721,0.731291,1,Not Significant,0,0,
ENSCSAG00000000345.1_RNASE1,6.407211326,-0.356475894,0.635365156,-0.561056725,0.574758868,1,Not Significant,0,0,
ENSCSAG00000000346.1_RNASE6,20.58063976,-0.434183297,0.362171585,-1.198833136,0.230592835,1,Not Significant,0,0,
ENSCSAG00000000347.1_EDDM3B,0.145282869,0.39158917,2.661037575,0.147156573,0.883008437,1,Not Significant,0,0,
ENSCSAG00000000348.1_EDDM3A,0.019930576,0,3.404921788,0,1,1,Not Significant,0,0,
ENSCSAG00000000349.1,20.86366864,0.050493168,0.318795991,0.158387085,0.87415179,1,Not Significant,0,0,
ENSCSAG00000000352.1_RNASE9,0.237981951,0,2.980910288,0,1,1,Not Significant,0,0,
ENSCSAG00000000353.1_RNASE10,0.251178159,-0.510841517,2.931342435,-0.174268796,0.861654221,1,Not Significant,0,0,
ENSCSAG00000000355.1,0.128921922,0,3.404921515,0,1,1,Not Significant,0,0,
ENSCSAG00000000357.1_OR4K2,0.128921922,0,3.404921515,0,1,1,Not Significant,0,0,
ENSCSAG00000000358.1_OR4K5,0.042641305,-1.347578508,3.399233734,-0.396435966,0.691783438,1,Not Significant,0,0,
ENSCSAG00000000359.1_OR4K1,0.072413454,0.255230541,3.392849272,0.075226018,0.940034884,1,Not Significant,0,0,
ENSCSAG00000000360.1_OR4K15,0.056517081,0.054795537,3.395857561,0.016135994,0.987125898,1,Not Significant,0,0,
ENSCSAG00000000361.1_OR4K14,0.055110308,0.038533256,3.396119166,0.011346262,0.990947187,1,Not Significant,0,0,
ENSCSAG00000000365.1,19.09706036,0.049735646,0.352874288,0.140944375,0.887913886,1,Not Significant,0,0,
ENSCSAG00000000366.1,0.128921922,0,3.404921515,0,1,1,Not Significant,0,0,
ENSCSAG00000000367.1_GDPGP1,9.886716703,0.099188395,0.388619003,0.255233003,0.798543142,1,Not Significant,0,0,
ENSCSAG00000000368.1_KLHL25,49.32893076,-0.537967777,0.406847129,-1.322284804,0.186073331,1,Not Significant,0,0,
ENSCSAG00000000369.1,241.1103375,-0.209304339,0.216376011,-0.967317671,0.333385253,1,Not Significant,0,0,
ENSCSAG00000000370.1,5.139770277,0.609432379,0.525281729,1.160200984,0.245966986,1,Not Significant,0,0,
ENSCSAG00000000371.1_FAM110C,15.60967011,0.446873764,0.315698364,1.415508648,0.156919415,1,Not Significant,0,0,
ENSCSAG00000000372.1,2.110741264,-0.255909346,0.746729112,-0.34270707,0.731818844,1,Not Significant,0,0,
ENSCSAG00000000373.1_SOX11,1.774682851,0.818969583,1.305585527,0.62728145,0.53047476,1,Not Significant,0,0,
ENSCSAG00000000374.1_KCNF1,0.051867346,0.011943542,3.396538173,0.003516387,0.997194335,1,Not Significant,0,0,
ENSCSAG00000000375.1_LRATD1,1.293011121,-0.569767436,1.08431117,-0.525464877,0.599260063,1,Not Significant,0,0,
ENSCSAG00000000376.1,1.711341156,0.721345332,1.366296932,0.52795649,0.597529536,1,Not Significant,0,0,
ENSCSAG00000000378.1_KCNS3,2.286197688,0.628031898,0.845763285,0.742562261,0.457746744,1,Not Significant,0,0,
ENSCSAG00000000379.1_RHOB,74.21838249,-0.247946997,0.36116539,-0.686519262,0.492385722,1,Not Significant,0,0,
ENSCSAG00000000380.1_TDRD15,123.2048438,0.141367884,0.287459647,0.491783406,0.622872468,1,Not Significant,0,0,
ENSCSAG00000000381.1,2.214213137,-0.124861353,0.767470744,-0.162692004,0.870760943,1,Not Significant,0,0,
ENSCSAG00000000382.1,0.168497623,0.218722349,2.94920789,0.074163083,0.940880621,1,Not Significant,0,0,
ENSCSAG00000000384.1_NPY2R,0.059791727,0,3.404921623,0,1,1,Not Significant,0,0,
ENSCSAG00000000385.1_TLR2,89.76818756,-0.487373261,0.403005939,-1.209345109,0.226530287,1,Not Significant,0,0,
ENSCSAG00000000386.1_TIGD4,0.23764394,-0.199382696,2.446555538,-0.081495267,0.935048089,1,Not Significant,0,0,
ENSCSAG00000000387.1,1.183270149,-1.591391384,1.631986258,-0.975125481,0.329498021,1,Not Significant,0,0,
ENSCSAG00000000388.1,0.821977471,1.855363474,1.538779118,1.205737361,0.227918774,1,Not Significant,0,0,
ENSCSAG00000000389.1_MAB21L2,10.07629151,0.451805486,0.436958679,1.033977599,0.301146636,1,Not Significant,0,0,
ENSCSAG00000000390.1,5.50268863,1.246452695,1.732533042,0.719439494,0.47187017,1,Not Significant,0,0,
ENSCSAG00000000391.1,6256.058185,-0.163500704,0.175594914,-0.931124375,0.351789231,1,Not Significant,0,0,
ENSCSAG00000000392.1,15.10698869,1.923021561,1.360984432,1.412963672,0.157666406,1,Not Significant,0,0,
ENSCSAG00000000393.1_SPRY1,38.0204628,0.140511274,0.230011335,0.610888477,0.541273414,1,Not Significant,0,0,
ENSCSAG00000000394.1_BBS12,6.075388306,0.160513789,0.48133752,0.333474501,0.738776134,1,Not Significant,0,0,
ENSCSAG00000000395.1,25.16461764,0.095932358,0.314759515,0.304779851,0.760533829,1,Not Significant,0,0,
ENSCSAG00000000396.1,0.128921922,0,3.404921515,0,1,1,Not Significant,0,0,
ENSCSAG00000000397.1,93.84326528,-0.293691855,0.273498135,-1.073834948,0.282896663,1,Not Significant,0,0,
ENSCSAG00000000398.1,5.905254954,-2.485168224,2.294669958,-1.083017719,0.278800558,1,Not Significant,0,0,
ENSCSAG00000000400.1,46.17751547,-0.25105816,0.350445715,-0.716396717,0.473746421,1,Not Significant,0,0,
ENSCSAG00000000401.1_TIFA,2.480948706,0.07195009,0.765504583,0.09399041,0.925116774,1,Not Significant,0,0,
ENSCSAG00000000402.1,6.251681044,0.126962372,0.444413652,0.28568513,0.775119295,1,Not Significant,0,0,
ENSCSAG00000000403.1,30.83934431,-1.031522645,0.703447776,-1.466381272,0.142544446,1,Not Significant,0,0,
ENSCSAG00000000404.1,4.176697203,0.068006542,0.564006018,0.120577688,0.904025542,1,Not Significant,0,0,
ENSCSAG00000000406.1,0.69151574,-1.223423252,1.158566236,-1.055980412,0.290977164,1,Not Significant,0,0,
ENSCSAG00000000407.1_PDHA2,17.37471752,0.141355548,0.374069447,0.377885842,0.705515401,1,Not Significant,0,0,
ENSCSAG00000000409.1_GPRIN3,19.29083684,0.190383465,0.448049762,0.424915894,0.670897988,1,Not Significant,0,0,
ENSCSAG00000000410.1_TIGD2,23.06594445,0.284372331,0.313134948,0.908146256,0.363800955,1,Not Significant,0,0,
ENSCSAG00000000411.1_NAP1L5,17.83908828,0.017411054,0.29967145,0.058100476,0.953668595,1,Not Significant,0,0,
ENSCSAG00000000412.1,3.237670976,1.572663488,2.007247988,0.783492372,0.433338031,1,Not Significant,0,0,
ENSCSAG00000000413.1,76.42104517,-0.13508248,0.188106926,-0.718115401,0.472686135,1,Not Significant,0,0,
ENSCSAG00000000414.1,0.359774579,0.878193649,1.507055821,0.582721381,0.560080878,1,Not Significant,0,0,
ENSCSAG00000000415.1,0.146035643,-0.307251982,3.40034841,-0.090358971,0.92800196,1,Not Significant,0,0,
ENSCSAG00000000416.1_GK2,0.019930576,0,3.404921788,0,1,1,Not Significant,0,0,
ENSCSAG00000000417.1_NAA11,0.214379773,0,3.404921364,0,1,1,Not Significant,0,0,
ENSCSAG00000000418.1_SOWAHB,29.51701063,0.221171262,0.310310868,0.712740946,0.476006074,1,Not Significant,0,0,
ENSCSAG00000000419.1,5.13108692,1.502433041,0.988056956,1.520593556,0.128361865,1,Not Significant,0,0,
ENSCSAG00000000420.1_UTP3,29.76846452,0.651942474,0.251103492,2.596309868,0.009423104,1,Not Significant,0,0,
ENSCSAG00000000422.1,129.6125614,0.111733583,0.195250385,0.57225794,0.56714724,1,Not Significant,0,0,
ENSCSAG00000000423.1_ERVMER34-1,2.338613889,-0.599712732,0.780819592,-0.768055436,0.442454251,1,Not Significant,0,0,
ENSCSAG00000000424.1,72.83584734,-0.166038599,0.265909113,-0.624418611,0.532352705,1,Not Significant,0,0,
ENSCSAG00000000425.1,71.90176419,-0.202560974,0.943597688,-0.21466879,0.830025557,1,Not Significant,0,0,
ENSCSAG00000000426.1,2.635849841,-0.165712242,0.649928182,-0.254970083,0.798746206,1,Not Significant,0,0,
